"METRIC","REDUND_MET"
"SWIMPTAX","SWIMNTAX"
"X.Clinger.HS","CLNGPIND,gregTol_.Clinger.HS"
"gregTol_.Clinger.HS","CLNGPIND,X.Clinger.HS"
"COFINTAX",""
"COFIPIND","TRICPIND,COFITRICPIND"
"COFIPTAX",""
"COFITRICNTAX",""
"COFITRICPIND","TRICPIND,COFIPIND"
"COFITRICPTAX",""
"COGANTAX",""
"COGAPIND",""
"COGAPTAX",""
"PREDNTAX","PREDPTAX"
"PREDPIND",""
"PREDPTAX","PREDNTAX"
"SCRPNTAX","SCRPPTAX"
"SCRPPIND","X.GenusScraper,gregTol_.GenusScraper"
"SCRPPTAX","SCRPNTAX"
"SHRDNTAX","SHRDPTAX"
"SHRDPIND","PLECPIND"
"SHRDPTAX","SHRDNTAX"
"X.Collector","gregTol_.Collector"
"X.GenusScraper","SCRPPIND,gregTol_.GenusScraper"
"gregTol_.Collector","X.Collector"
"gregTol_.GenusScraper","SCRPPIND,X.GenusScraper"
