"METRIC","REDUND_MET"
"X.BCG_pctIMP_att5","X.EPT65,gregTol_.EPT65,FACLPTAX,NTOLPTAX,STOLPTAX,TOLRPTAX,gregTol_NTOLPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,X.BCG_spCond_att5,X.BCG_Chloride_att2.3,X.BCG_TNTP_att5,X.BCG_pctIMP_att2.3,gregTol_.BCG_spCond_att5,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_TNTP_att5,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"gregTol_Genus.HBI","X.EPT.H.C,gregTol_.EPT.H.C,NTOLPIND,TL45PIND,WTD_TV,gregTol_NTOLPIND,gregTol_WTD_TV,Genus.HBI"
"gregTol_BCGatt2.3","X.EPT45,gregTol_.EPT45,EPOTNTAX,EPT_NTAX,Genus.EPT.Taxa,gregTol_Genus.EPT.Taxa,FACLNTAX,NTOLNTAX,gregTol_NTOLNTAX,gregTol_TL23NTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_totHab_att2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_totHab_att2.3"
"gregTol_.BCGatt2.3","X.EPT45,X.EPT65,gregTol_.EPT45,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_spCond_att2.3,X.BCG_Chloride_att2.3,X.BCG_TNTP_att2.3,X.BCG_totHab_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCG_DO_att2.3,gregTol_.BCG_spCond_att2.3,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_TNTP_att2.3,gregTol_.BCG_totHab_att2.3,gregTol_.BCG_pctIMP_att2.3"
"gregTol_BCGatt5","BCGatt5"
"gregTol_.BCGatt5","STOLPTAX,gregTol_STOLPTAX,X.BCGatt5,X.BCG_TNTP_att5,gregTol_.BCG_TNTP_att5"
"gregTol_.BCG_DO_att2.3","X.BCGatt2.3,X.BCG_DO_att2.3,X.BCG_totHab_att2.3,gregTol_.BCGatt2.3,gregTol_.BCG_totHab_att2.3"
"gregTol_.BCG_DO_att5","X.BCG_DO_att5"
"gregTol_.BCG_Acidity_att2.3","X.BCG_Acidity_att2.3"
"gregTol_.BCG_Acidity_att5","X.BCG_Acidity_att5"
"gregTol_.BCG_Alkalinity_att2.3","X.BCG_Alkalinity_att2.3"
"gregTol_.BCG_Alkalinity_att5","X.BCG_Alkalinity_att5"
"gregTol_.BCG_spCond_att2.3","X.EPT45,gregTol_.EPT45,NTOLPTAX,gregTol_NTOLPTAX,BCGatt2.3,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_TNTP_att2.3,X.BCG_pctIMP_att2.3,gregTol_BCGatt2.3,gregTol_.BCGatt2.3,gregTol_.BCG_TNTP_att2.3,gregTol_.BCG_pctIMP_att2.3"
"gregTol_.BCG_spCond_att5","FACLPTAX,TOLRPTAX,gregTol_TOLRPTAX,X.BCG_spCond_att5,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att5,gregTol_.BCG_Chloride_att2.3,gregTol_.BCG_pctIMP_att5"
"gregTol_.BCG_Chloride_att2.3","X.EPT65,gregTol_.EPT65,NTOLPTAX,gregTol_NTOLPTAX,X.BCGatt2.3,X.BCG_spCond_att5,X.BCG_Chloride_att2.3,X.BCG_pctIMP_att2.3,X.BCG_pctIMP_att5,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att5,gregTol_.BCG_pctIMP_att2.3,gregTol_.BCG_pctIMP_att5"
"gregTol_.BCG_Chloride_att5","X.BCG_Chloride_att5"
"gregTol_.BCG_Sulfate_att2.3","X.BCG_Sulfate_att2.3"
"gregTol_.BCG_Sulfate_att5","X.BCG_Sulfate_att5"
"gregTol_.BCG_TNTP_att2.3","X.EPT45,gregTol_.EPT45,X.BCGatt2.3,X.BCG_spCond_att2.3,X.BCG_TNTP_att2.3,gregTol_.BCGatt2.3,gregTol_.BCG_spCond_att2.3"
"gregTol_.BCG_TNTP_att5","FACLPTAX,STOLPTAX,TOLRPTAX,gregTol_STOLPTAX,gregTol_TOLRPTAX,X.BCGatt5,X.BCG_TNTP_att5,X.BCG_pctIMP_att5,gregTol_.BCGatt5,gregTol_.BCG_pctIMP_att5"
